track_name,track_code,dates
Sunray Park,SRP,4/22/2022-5/29/2022
Sweetwater Downs,SWF,8/20/2022-10/2/2022
Tampa Bay,TAM,7/1/2021-6/30/2022|7/1/2022-6/30/2023
The Thoroughbred Center,TTC,1/1/2022-12/31/2022
Thistledown,TDN,4/25/2022-10/13/2022
Tillamook Fair,TIL,8/10/2022-8/13/2022
Timonium,TIM,8/26/2022-9/5/2022
Tryon,TRY,4/16/2022-4/16/2022
Turf Paradise,TUP,11/5/2021-5/7/2022
Turfway Park,TP,1/1/2022-4/3/2022|12/1/2022-12/31/2022
Weber Downs,WBR,4/9/2022-4/30/2022
White Pine Racing,ELY,8/19/2022-8/21/2022
Will Rogers,WRD,3/21/2022-5/25/2022|9/10/2022-11/12/2022
Willowdale Stp,WIL,5/14/2022-5/14/2022
Winterthur,WNT,5/8/2022-5/8/2022
Woodbine,WO,4/16/2022-12/11/2022
Wyoming Downs,WYO,6/4/2022-8/7/2022
Zia Park,ZIA,10/1/2022-12/20/2022
